Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,0.1uF,C14663
"C2, C4",0603,2,10uF,C1691
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",0603,16,D_Zener 6.6V,C894569
"D17, D18, D19, D20, D21, D22, D23, D24",0603,8,300mA 100V,C727112
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R6, R61, R62, R64, R65, R67, R68, R7, R73, R74, R75, R77, R78, R79, R8, R80, R82, R84, R85, R86, R87, R9",0603,76,10K,C25804
"R59, R60, R63, R66, R76, R81, R83, R88",0603,8,48K,C227922
"R69, R70, R71, R72, R89, R90, R91, R92",0603,8,750R,C23241
"U1, U3",MCP3008 SOIC16,2,MCP3008,C1520159
"U2, U6",LM324 SOIC14,2,LM324,C71035
"U4, U5",MCP4728 MSOP10,2,MCP4728,C108207
